langue,outil,categorie_base,theme_deduit
fr,Cabone 4 : faire sa part,Urgence Climatique,Évaluation et mesure
fr,Camille etienne - vulgarisation,Urgence Climatique,Sensibilisation et formation
fr,Aequitas,Back-End,"Respect de la vie privée, transparence et éthique"
fr,Carbon emissions tracker,Back-End,Évaluation et mesure
fr,Energyusage,Back-End,Éco-conception (Web)
fr,Intel power gadget,Back-End,Éco-conception (Web)
fr,Linux extended bpf,Back-End,Éco-conception (Web)
fr,Mlco2,Back-End,Évaluation et mesure
fr,Petra,Back-End,Évaluation et mesure
fr,Data co2 calculator v4,Back-End,Évaluation et mesure
fr,Cleer modèle,Back-End,Évaluation et mesure
fr,Joularjx,Back-End,Évaluation et mesure
fr,Clic connect,Contenus,Marketing et Communication
fr,Checkmycolor,Front-End,Accessibilité & inclusivité
fr,Eco meter,Front-End,Éco-conception (Web)
fr,Ecometer,Front-End,Évaluation et mesure
fr,Google amp,Front-End,Évaluation et mesure
fr,Google richtxt,Front-End,Éco-conception (Web)
fr,Gt metrix,Front-End,Évaluation et mesure
fr,Ionos,Front-End,Évaluation et mesure
fr,Test my site,Front-End,Évaluation et mesure
fr,Device co2 calculator v4,Front-End,Évaluation et mesure
fr,Amazon codeguru,Hébergement,Gestion de l'énergie et des ressources
fr,Green cost explorer (amazon),Hébergement,Gestion de l'énergie et des ressources
fr,Rtlamr,IoT,DEEEE et Equipements
fr,Developpement socialement durable,MOOC,Sensibilisation et formation
fr,Ingénieurie ecologique,MOOC,Sensibilisation et formation
fr,Objectifs de développement durable,MOOC,Sensibilisation et formation
fr,Accessibilité,MOOC,Accessibilité & inclusivité
fr,Etalab,Référence,Références et guides
fr,Pidila,Référence,Références et guides
fr,Rgpd by design,Référence,Références et guides
fr,Substra foundation,Référence,Références et guides
fr,Watttime,Référence,Références et guides
fr,Enviroscore,Référence,Références et guides
fr,Code du travail numérique,Référence,Références et guides
fr,One click lca,Stratégie,Évaluation et mesure
fr,Regis,Stratégie,Évaluation et mesure
fr,Egapro,Stratégie,Accessibilité & inclusivité
fr,Design system de l'état,Transverse,Évaluation et mesure
fr,Myclimatepal,Transverse,Évaluation et mesure
fr,Numerik ea,Transverse,Accessibilité & inclusivité
fr,The fifties (toolkit),Ux/Ui,Conception web
en,Aequitas,Back-End,Éco-conception (Web)
en,Avolin,Back-End,Éco-conception (Web)
en,Carbon emissions tracker,Back-End,Éco-conception (Web)
en,Energy usage,Back-End,Éco-conception (Web)
en,Intel power gadget,Back-End,Éco-conception (Web)
en,Linux extended bpf,Back-End,Éco-conception (Web)
en,Mlco2,Back-End,IA
en,Petra,Back-End,Éco-conception (Web)
en,Diving suit,Back-End,Éco-conception (Web)
en,Data co2 calculator v4,Back-End,Éco-conception (Web)
en,Click connect,Contents,Références et guides
en,Axis,Front-End,Éco-conception (Web)
en,Checkmycolor,Front-End,Éco-conception (Web)
en,Eco meter,Front-End,Éco-conception (Web)
en,Ecometer,Front-End,Éco-conception (Web)
en,Google amp,Front-End,Éco-conception (Web)
en,Google richtxt,Front-End,Éco-conception (Web)
en,Gt metrix,Front-End,Éco-conception (Web)
en,Ionos,Front-End,Éco-conception (Web)
en,Test my site,Front-End,Éco-conception (Web)
en,Device co2 calculator v4,Front-End,Éco-conception (Web)
en,Amazon codeguru,Hosting,Références et guides
en,Cleer,Hosting,Références et guides
en,Green cost explorer,Hosting,Références et guides
en,Rtlamr,IoT,DEEEE et Equipements
en,Socially sustainable development,MOOC,Sensibilisation et formation
en,Ecological engineering,MOOC,Sensibilisation et formation
en,The gdpr workshop,MOOC,Sensibilisation et formation
en,Sustainable development goals,MOOC,Sensibilisation et formation
en,Accessibility,MOOC,Sensibilisation et formation
en,Energy consumption of it equipment,Reference,Références et guides
en,Etalab,Reference,Références et guides
en,Pidila,Reference,Références et guides
en,Gdpr by design,Reference,Références et guides
en,Substra foundation,Reference,Références et guides
en,Watttime,Reference,Références et guides
en,Sustainable it wiki,Reference,Références et guides
en,Enviroscore,Reference,Références et guides
en,Digital labor code,Reference,Références et guides
en,One click lca,Strategy,Références et guides
en,Regis,Strategy,Références et guides
en,Egapro,Strategy,Références et guides
en,State design system,Transverse,Évaluation et mesure
en,Myclimatepal,Transverse,Évaluation et mesure
en,Numerik ea,Transverse,Évaluation et mesure
en,The fifties (toolkit),Ux / Ui,Références et guides
